period,skim_period,purpose,survey_freq_dep,survey_freq_arr,model_freq_dep,model_freq_arr
14.25,3: MD,2: University,3989.294906,6977.920373,1483,4952.0
14.25,3: MD,1: Work,8901.949145,22552.2157,15242,35206.0
14.75,3: MD,9: Work-based,9038.936195,11198.22293,2350,4217.0
14.75,3: MD,4: Escort,32791.15878,29045.95497,77880,92902.0
14.75,3: MD,6: Individual Discretionary,11454.00804,15929.90728,10609,12337.0
14.75,3: MD,5: Individual Maintenance,26729.56232,37700.75249,24406,31658.0
14.75,3: MD,8: Joint Discretionary,1076.366773,1723.812266,1543,1632.0
14.75,3: MD,7: Joint Maintenance,1252.369895,1946.197045,2585,3317.0
14.75,3: MD,3: School,1615.602623,46663.6329,1881,121138.0
14.75,3: MD,Total,95423.55761,188869.1309,137144,315472.0
14.75,3: MD,2: University,1676.328531,12945.01317,1264,5033.0
14.75,3: MD,1: Work,9789.224453,31715.63789,14626,43238.0
15.25,3: MD,9: Work-based,5609.169395,11570.51624,1889,3245.0
15.25,3: MD,4: Escort,20885.26733,27620.9804,68640,100183.0
15.25,3: MD,6: Individual Discretionary,14643.35266,20538.80608,13063,12064.0
15.25,3: MD,5: Individual Maintenance,22971.37386,29372.25189,24587,32143.0
15.25,3: MD,8: Joint Discretionary,2825.70304,750.680205,2311,1626.0
15.25,3: MD,7: Joint Maintenance,1443.60304,2411.409748,2915,3415.0
15.25,3: MD,3: School,3731.41135,40608.08859,2018,114097.0
15.25,3: MD,Total,84363.29243,186661.3511,129571,335886.0
15.25,3: MD,2: University,1512.711063,5754.03527,1010,5250.0
15.25,3: MD,1: Work,10740.70069,48034.58272,13138,63863.0
15.75,4: PM,9: Work-based,3134.707587,9797.816592,1438,2352.0
15.75,4: PM,4: Escort,15360.84866,31092.14677,44250,55074.0
15.75,4: PM,6: Individual Discretionary,18514.46544,25937.68617,16186,9222.0
15.75,4: PM,5: Individual Maintenance,20476.21387,26538.85684,25299,28407.0
15.75,4: PM,8: Joint Discretionary,945.2968454,935.8222867,1862,1254.0
15.75,4: PM,7: Joint Maintenance,2885.457855,1719.25221,3417,3207.0
15.75,4: PM,3: School,1440.85757,39638.96683,2073,71701.0
