OwnershipCategory,tour_mode,purpose,survey_freq,model_freq
2: Vehicles >= Adults,04: Walk,1: Work,5173.0,5757.0
2: Vehicles >= Adults,05: Bike,1: Work,11081.0,10778.0
2: Vehicles >= Adults,06: Walk to Transit,1: Work,3670.0,3747.0
2: Vehicles >= Adults,07: PNR to Transit,1: Work,3327.0,2736.0
2: Vehicles >= Adults,08: KNR to Transit,1: Work,2148.0,1384.0
2: Vehicles >= Adults,09: TNC to Transit,1: Work,98.0,3.0
2: Vehicles >= Adults,01: SOV,2: University,40618.0,39521.0
2: Vehicles >= Adults,02: Shared Ride 2,2: University,10674.0,10194.0
2: Vehicles >= Adults,03: Shared Ride 3+,2: University,7429.0,7966.0
2: Vehicles >= Adults,04: Walk,2: University,2036.0,2024.0
2: Vehicles >= Adults,05: Bike,2: University,185.0,0.0
2: Vehicles >= Adults,06: Walk to Transit,2: University,1814.0,1693.0
2: Vehicles >= Adults,07: PNR to Transit,2: University,706.0,978.0
2: Vehicles >= Adults,08: KNR to Transit,2: University,763.0,727.0
2: Vehicles >= Adults,09: TNC to Transit,2: University,2120.0,0.0
2: Vehicles >= Adults,01: SOV,3: School,15739.0,10224.0
2: Vehicles >= Adults,02: Shared Ride 2,3: School,94229.0,175080.0
2: Vehicles >= Adults,03: Shared Ride 3+,3: School,282376.0,216246.0
2: Vehicles >= Adults,04: Walk,3: School,14576.0,9344.0
2: Vehicles >= Adults,05: Bike,3: School,8398.0,5789.0
2: Vehicles >= Adults,06: Walk to Transit,3: School,473.0,557.0
2: Vehicles >= Adults,07: PNR to Transit,3: School,5.0,0.0
2: Vehicles >= Adults,08: KNR to Transit,3: School,219.0,854.0
2: Vehicles >= Adults,09: TNC to Transit,3: School,32688.0,0.0
2: Vehicles >= Adults,01: SOV,5: Individual Maintenance,391902.0,235043.0
2: Vehicles >= Adults,02: Shared Ride 2,5: Individual Maintenance,319782.0,93029.0
2: Vehicles >= Adults,03: Shared Ride 3+,5: Individual Maintenance,433480.0,144320.0
2: Vehicles >= Adults,04: Walk,5: Individual Maintenance,42282.0,33107.0
2: Vehicles >= Adults,05: Bike,5: Individual Maintenance,2544.0,1207.0
2: Vehicles >= Adults,06: Walk to Transit,5: Individual Maintenance,1125.0,944.0
