trip_mode,tour_mode,purpose,survey_value,model_value
03: Shared Ride 3+,08: KNR to Transit,3: School,355.0,622.0
04: Walk,08: KNR to Transit,3: School,355.0,638.0
05: Bike,08: KNR to Transit,3: School,0.0,0.0
06: Walk to Transit,08: KNR to Transit,3: School,777.0,503.0
07: PNR to Transit,08: KNR to Transit,3: School,0.0,0.0
08: KNR to Transit,08: KNR to Transit,3: School,905.0,1599.0
09: TNC to Transit,08: KNR to Transit,3: School,0.0,564.0
01: SOV,13: School Bus,3: School,756.0,0.0
02: Shared Ride 2,13: School Bus,3: School,8671.0,0.0
03: Shared Ride 3+,13: School Bus,3: School,18278.0,0.0
04: Walk,13: School Bus,3: School,241.0,0.0
05: Bike,13: School Bus,3: School,0.0,0.0
06: Walk to Transit,13: School Bus,3: School,0.0,0.0
07: PNR to Transit,13: School Bus,3: School,0.0,0.0
08: KNR to Transit,13: School Bus,3: School,0.0,0.0
09: TNC to Transit,13: School Bus,3: School,115273.0,0.0
01: SOV,Total,3: School,69776.0,41303.0
02: Shared Ride 2,Total,3: School,668402.0,672493.0
03: Shared Ride 3+,Total,3: School,659791.0,672764.0
04: Walk,Total,3: School,129429.0,117308.0
05: Bike,Total,3: School,15102.0,14904.0
06: Walk to Transit,Total,3: School,11324.0,12379.0
07: PNR to Transit,Total,3: School,32.0,2.0
08: KNR to Transit,Total,3: School,905.0,1599.0
09: TNC to Transit,Total,3: School,115273.0,564.0
01: SOV,01: SOV,5: Individual Maintenance,1549383.0,940928.0
02: Shared Ride 2,01: SOV,5: Individual Maintenance,0.0,0.0
03: Shared Ride 3+,01: SOV,5: Individual Maintenance,0.0,0.0
04: Walk,01: SOV,5: Individual Maintenance,0.0,0.0
05: Bike,01: SOV,5: Individual Maintenance,0.0,0.0
06: Walk to Transit,01: SOV,5: Individual Maintenance,0.0,0.0
07: PNR to Transit,01: SOV,5: Individual Maintenance,0.0,0.0
08: KNR to Transit,01: SOV,5: Individual Maintenance,0.0,0.0
09: TNC to Transit,01: SOV,5: Individual Maintenance,0.0,0.0
01: SOV,02: Shared Ride 2,5: Individual Maintenance,416760.0,147364.0
02: Shared Ride 2,02: Shared Ride 2,5: Individual Maintenance,932002.0,288601.0
03: Shared Ride 3+,02: Shared Ride 2,5: Individual Maintenance,5374.0,0.0
04: Walk,02: Shared Ride 2,5: Individual Maintenance,19693.0,4891.0
05: Bike,02: Shared Ride 2,5: Individual Maintenance,0.0,0.0
06: Walk to Transit,02: Shared Ride 2,5: Individual Maintenance,0.0,0.0
07: PNR to Transit,02: Shared Ride 2,5: Individual Maintenance,0.0,0.0
08: KNR to Transit,02: Shared Ride 2,5: Individual Maintenance,0.0,0.0
09: TNC to Transit,02: Shared Ride 2,5: Individual Maintenance,0.0,0.0
01: SOV,03: Shared Ride 3+,5: Individual Maintenance,178084.0,67367.0
02: Shared Ride 2,03: Shared Ride 3+,5: Individual Maintenance,335224.0,126562.0
03: Shared Ride 3+,03: Shared Ride 3+,5: Individual Maintenance,1178581.0,344604.0
04: Walk,03: Shared Ride 3+,5: Individual Maintenance,12868.0,2380.0
05: Bike,03: Shared Ride 3+,5: Individual Maintenance,0.0,0.0
06: Walk to Transit,03: Shared Ride 3+,5: Individual Maintenance,0.0,0.0
07: PNR to Transit,03: Shared Ride 3+,5: Individual Maintenance,0.0,0.0
08: KNR to Transit,03: Shared Ride 3+,5: Individual Maintenance,0.0,0.0
09: TNC to Transit,03: Shared Ride 3+,5: Individual Maintenance,0.0,0.0
01: SOV,04: Walk,5: Individual Maintenance,0.0,0.0
02: Shared Ride 2,04: Walk,5: Individual Maintenance,0.0,0.0
03: Shared Ride 3+,04: Walk,5: Individual Maintenance,0.0,0.0
04: Walk,04: Walk,5: Individual Maintenance,300138.0,204468.0
05: Bike,04: Walk,5: Individual Maintenance,0.0,0.0
06: Walk to Transit,04: Walk,5: Individual Maintenance,0.0,0.0
07: PNR to Transit,04: Walk,5: Individual Maintenance,0.0,0.0
08: KNR to Transit,04: Walk,5: Individual Maintenance,0.0,0.0
09: TNC to Transit,04: Walk,5: Individual Maintenance,0.0,0.0
01: SOV,05: Bike,5: Individual Maintenance,828.0,0.0
02: Shared Ride 2,05: Bike,5: Individual Maintenance,303.0,0.0
03: Shared Ride 3+,05: Bike,5: Individual Maintenance,116.0,0.0
04: Walk,05: Bike,5: Individual Maintenance,454.0,0.0
05: Bike,05: Bike,5: Individual Maintenance,13057.0,6997.0
06: Walk to Transit,05: Bike,5: Individual Maintenance,0.0,0.0
07: PNR to Transit,05: Bike,5: Individual Maintenance,0.0,0.0
08: KNR to Transit,05: Bike,5: Individual Maintenance,0.0,0.0
09: TNC to Transit,05: Bike,5: Individual Maintenance,0.0,0.0
01: SOV,06: Walk to Transit,5: Individual Maintenance,0.0,0.0
02: Shared Ride 2,06: Walk to Transit,5: Individual Maintenance,0.0,387.0
03: Shared Ride 3+,06: Walk to Transit,5: Individual Maintenance,0.0,851.0
04: Walk,06: Walk to Transit,5: Individual Maintenance,0.0,341.0
05: Bike,06: Walk to Transit,5: Individual Maintenance,0.0,0.0
06: Walk to Transit,06: Walk to Transit,5: Individual Maintenance,26111.0,24074.0
07: PNR to Transit,06: Walk to Transit,5: Individual Maintenance,0.0,0.0
08: KNR to Transit,06: Walk to Transit,5: Individual Maintenance,0.0,0.0
09: TNC to Transit,06: Walk to Transit,5: Individual Maintenance,0.0,0.0
01: SOV,07: PNR to Transit,5: Individual Maintenance,0.0,104.0
02: Shared Ride 2,07: PNR to Transit,5: Individual Maintenance,0.0,21.0
03: Shared Ride 3+,07: PNR to Transit,5: Individual Maintenance,0.0,1.0
04: Walk,07: PNR to Transit,5: Individual Maintenance,0.0,17.0
05: Bike,07: PNR to Transit,5: Individual Maintenance,0.0,0.0
06: Walk to Transit,07: PNR to Transit,5: Individual Maintenance,35.0,0.0
07: PNR to Transit,07: PNR to Transit,5: Individual Maintenance,376.0,472.0
08: KNR to Transit,07: PNR to Transit,5: Individual Maintenance,0.0,0.0
09: TNC to Transit,07: PNR to Transit,5: Individual Maintenance,0.0,0.0
01: SOV,08: KNR to Transit,5: Individual Maintenance,0.0,0.0
02: Shared Ride 2,08: KNR to Transit,5: Individual Maintenance,540.0,516.0
