period,purpose,freq_dep,freq_arr,skim_period
23.25,6: Individual Discretionary,967,7305.0,5: EV
23.25,7: Joint Maintenance,119,522.0,5: EV
23.25,8: Joint Discretionary,90,777.0,5: EV
23.25,9: Work-based,198,472.0,5: EV
23.75,1: Work,381,14876.0,5: EV
23.75,2: University,7,945.0,5: EV
23.75,3: School,28,441.0,5: EV
23.75,4: Escort,3476,4240.0,5: EV
23.75,5: Individual Maintenance,400,2560.0,5: EV
23.75,6: Individual Discretionary,582,3925.0,5: EV
23.75,7: Joint Maintenance,36,396.0,5: EV
23.75,8: Joint Discretionary,41,371.0,5: EV
23.75,9: Work-based,117,398.0,5: EV
24.25,1: Work,238,25571.0,5: EV
24.25,2: University,1,692.0,5: EV
24.25,3: School,20,449.0,5: EV
24.25,4: Escort,1271,5797.0,5: EV
24.25,5: Individual Maintenance,111,2071.0,5: EV
24.25,6: Individual Discretionary,177,4077.0,5: EV
24.25,7: Joint Maintenance,13,265.0,5: EV
24.25,8: Joint Discretionary,14,399.0,5: EV
24.25,9: Work-based,53,273.0,5: EV
